YEAR,STATE,OWNER_COMPANY,OPERATOR_COMPANY,PLANT,COUNTY,ZIPCODE,STATUS,CAPACITY,FLOW,BTU,DRYGAS,LIQUIDGAS
2017,OK,Enerfin Resources Company,Enerfin Resources I LP,Tecumseh Gas Plant,Pottatomie,74873,Active,20,10,1310,,1400,
2017,OK,Tag Petroleum Inc,Tag Petroleum Inc,Mehan Gas Plant,Payne,74076-1389,Active,1.5,0.65,1250,0,714,
2017,MS,Enterprise Gas Processing LLC,Enterprise Gas Processing LLC,Pascagoula Gas Processing Plant,Jackson,39567,Active,750,400,1200,0,1340,
2017,OK,Superior Pipeline Company LLC,Superior Pipeline Company LLC,Cashion Plant,Logan,73016,Active,45,36.5,1300,0,700,
2017,PA,Kane GPP LP,Elkhorn Gas Processing,Kane Gas Plant,McKean,16735,Active,12,5,1293,,3035,
2017,PA,Elkhorn Holdings,Elkhorn Gas Processing,Keystone Gas Plant,Warren,16735,Active,10,3,1293,,2064,
2017,TX,Formosa Hydrocarbons Company,Formosa Hydrocarbons Company,Formosa Hydrocarbons Company,Calhoun,77978,Not Active,200,,,,7000,
2017,OK,Superior Pipeline Company LLC,Superior Pipeline Company LLC,Minco Plant,Grady,73089,Active,18,6.7,1190,0,700,
2017,PA,Elkhorn Holdings LLC,Elkhorn Gas Processing,Roystone Gas Plant,Warren,16347,Active,9,6,1251,,3036,
2017,PA,Elkhorn Investments LLC,Elkhorn Gas Processing,Lewis Run Gas Plant,McKean,16701,Active,5,,,,1821,
2017,OK,Superior Pipeline Company LLC,Superior Pipeline Company LLC,Perkins Plant,Payne,74059,Active,30,3.5,1280,0,700,
2017,TX,Oxy,Oxy,Slaughter Gasoline Plant (Mallet),Hockley,79372,Active,345,340,1250,,2200,
2017,TX,Oxy,Oxy,Slaughter Gasoline Plant,Hockley,79372,Active,35,30,1400,,446000,
2017,OK,ENABLE PRODUCTS LLC,ENABLE PRODUCTS LLC,MCCLURE,CUSTER,73625,Active,215,200,1111,,2620,
2017,TX,Enbridge G&P North Texas L.P,Enbridge G&P North Texas L.P,Lone Camp,Palo Pinto,76453,Active,40,30,1250,,714,
2017,TX,Occidental Permian Ltd,Occidental Permian Ltd,Salt Creek Processing Plant,Kent,79550,Active,165,160,1170,,1300,
2017,TX,Enbridge G&P North Texas L.P,Enbridge G&P North Texas  L.P,Huckabay,Erath,76401,Active,20,19,1220,,1833,
2017,TX,Enbridge G&P North Texas L.P,Enbridge G&P North Texas L.P,Gordon,Palo Pinto,76453,Active,40,35,1250,,3600,
2017,ND,Enbridge,,Aux Sable Midstream, LLC,Mountrail,58769,Active,80,56,1492,,6429,
2017,ND,True Oil LLC,True Oil LLC,Red Wing Creek Gas Plant II,McKenzie,58835,Active,12,4,1475,,9143,
2017,MI,Breitburn Operating, L.P.,Breitburn Operating, L.P.,Sherman 35,Osceola,49655,Active,2,2,,,714,
2017,TX,ETC Texas Pipeline Ltd,Energy Transfer Company,La Grange Plant,Fayette,78945,Active,200,110,1275,,1700,
2017,TX,Ranch Westex JV LLC,Energy Transfer Company,Bone Springs Gas Processing Plant,Ward,79719,Active,120,102,1250,,5700,
